 route street_number postal_code administrative_area_level_2 administrative_area_level_1 time
0 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-13T08:56:48Z
1 Raadhuishof 25 5341 Oss Noord-Brabant 2017-04-13T08:27:38Z
2 Raadhuishof 25 5341 Oss Noord-Brabant 2017-04-13T08:15:57Z
3 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-13T08:10:20Z
4 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-13T08:07:50Z
5 Spoorlaan 13 5348 Oss Noord-Brabant 2017-04-13T08:04:38Z
6 Vinkenveld 14 "5249 JP" 's-Hertogenbosch Noord-Brabant 2017-04-13T07:59:23Z
7 Boschveldweg 293 "5211 VK" 's-Hertogenbosch Noord-Brabant 2017-04-13T07:54:11Z
8 Parallelweg 1 "4181 PW" Neerijnen Gelderland 2017-04-13T07:25:25Z
9 "Parallelweg West" 45 "4107 NA" Culemborg Gelderland 2017-04-13T07:20:16Z
10 Edelsteen 140 "3991 SE" Houten Utrecht 2017-04-13T07:15:00Z
11 Stationshal 10 "3511 CE" Utrecht Utrecht 2017-04-13T07:07:21Z
12 Stationshal 5B "3511 CE" Utrecht Utrecht 2017-04-13T06:25:48Z
13 stationstraverse 3 "3511 CA" Utrecht Utrecht 2017-04-13T06:20:53Z
14 Jaarbeursplein 14 "3521 AL" Utrecht Utrecht 2017-04-13T06:15:31Z
15 "Graadt van Roggenweg" 400-500 "3531 AH" Utrecht Utrecht 2017-04-13T06:12:55Z
16 "Admiraal Helfrichlaan" 509 "3527 KV" Utrecht Utrecht 2017-04-13T06:10:18Z
17 "Van Vollenhovenlaan" 349 "3527 JJ" Utrecht Utrecht 2017-04-13T01:29:10Z
18 "Van Vollenhovenlaan" 345 "3527 JJ" Utrecht Utrecht 2017-04-11T22:34:38Z
19 "Van Vollenhovenlaan" 305 "3527 JH" Utrecht Utrecht 2017-04-11T22:25:36Z
20 "Van Vollenhovenlaan" 114 "3527 JS" Utrecht Utrecht 2017-04-11T22:23:32Z
21 "Olof Palmelaan" 120-122 "3527 WK" Utrecht Utrecht 2017-04-11T22:21:08Z
22 "Fentener van Vlissingenkade" 1 "3521 AA" Utrecht Utrecht 2017-04-11T22:17:56Z
23 Smakkelaarsveld 29 "3511 EA" Utrecht Utrecht 2017-04-11T22:11:52Z
24 Oudegracht 85 3511 Utrecht Utrecht 2017-04-11T22:08:56Z
25 "Lange Viestraat" 667 "3511 BK" Utrecht Utrecht 2017-04-11T22:08:54Z
26 Oudegracht 106 "3511 AV" Utrecht Utrecht 2017-04-11T22:05:10Z
27 Vredenburg 89 "3511 BD" Utrecht Utrecht 2017-04-11T22:00:28Z
28 "Van Sijpesteijnkade" 29 "3521 AH" Utrecht Utrecht 2017-04-11T21:58:21Z
29 "Graadt van Roggenweg" 304 "3531 AH" Utrecht Utrecht 2017-04-11T21:55:16Z
30 "Admiraal Helfrichlaan" 22 "3527 KV" Utrecht Utrecht 2017-04-11T21:49:50Z
31 "Van Vollenhovenlaan" 325 "3527 JJ" Utrecht Utrecht 2017-04-11T21:46:33Z
32 "Van Vollenhovenlaan" 200 "3527 JW" Utrecht Utrecht 2017-04-11T21:46:26Z
33 "Van Vollenhovenlaan" 337 "3527 JJ" Utrecht Utrecht 2017-04-11T20:04:54Z
34 "Van Vollenhovenlaan" 305 "3527 JH" Utrecht Utrecht 2017-04-11T19:50:22Z
35 Stationshal 13B "3511 CE" Utrecht Utrecht 2017-04-11T19:35:34Z
36 "Nieuwe Houtenseweg" 27 "3524 SE" Utrecht Utrecht 2017-04-11T19:30:18Z
37 Lekdijk 20 "3998 NH" Houten Utrecht 2017-04-11T19:25:04Z
38 Trichtsekade 3 "4196 RP" Geldermalsen Gelderland 2017-04-11T19:22:25Z
39 Kerkstraat 6 "4181 AB" Neerijnen Gelderland 2017-04-11T19:17:14Z
40 Stationspasserelle 10 "5211 AZ" 's-Hertogenbosch Noord-Brabant 2017-04-11T19:07:37Z
41 Stationspasserelle 10 "5211 AZ" 's-Hertogenbosch Noord-Brabant 2017-04-11T19:01:44Z
42 Wolfdijk 18 "5391 KG" Maasdonk Noord-Brabant 2017-04-11T18:51:10Z
43 Spoorlaan 3 "5348 KA" Oss Noord-Brabant 2017-04-11T18:45:54Z
44 Spoorlaan 68 "5348 KC" Oss Noord-Brabant 2017-04-11T18:40:42Z
45 Spoorlaan 72 "5348 KC" Oss Noord-Brabant 2017-04-11T18:40:22Z
46 Spoorlaan 68 "5348 KC" Oss Noord-Brabant 2017-04-11T18:34:40Z
47 Spoorlaan 68 "5348 KC" Oss Noord-Brabant 2017-04-11T18:34:38Z
48 Spoorlaan 3 "5348 KA" Oss Noord-Brabant 2017-04-11T18:33:22Z
49 Spoorlaan 9 "5348 KA" Oss Noord-Brabant 2017-04-11T18:32:19Z
50 Spoorlaan 3 "5348 KA" Oss Noord-Brabant 2017-04-11T18:28:11Z
51 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-11T18:27:37Z
52 Ridderhof 32 "5341 HS" Oss Noord-Brabant 2017-04-11T18:27:14Z
53 Raadhuishof 25 5341 Oss Noord-Brabant 2017-04-11T17:41:57Z
54 Raadhuishof 25 5341 Oss Noord-Brabant 2017-04-11T17:17:27Z
55 Raadhuislaan 2 5341 Oss Noord-Brabant 2017-04-11T17:14:29Z
56 Ridderhof 41 "5341 HS" Oss Noord-Brabant 2017-04-11T17:07:24Z
57 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-11T14:49:50Z
58 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-11T14:46:26Z
59 Raadhuislaan 2A "5341 GM" Oss Noord-Brabant 2017-04-11T13:54:24Z
